Position,Level,Salary
C-level,5,109049
Marketing Specialist,4,80447
Content Strategist,1,42650
Manager,9,498085
Financial Analyst,2,52262
Region Manager,4,81344
Senior Partner,7,197941
Product Manager,5,112806
Manager,5,105383
Business Analyst,9,504603
Country Manager,3,58281
CEO,6,145947
Financial Analyst,1,43399
Operations Manager,7,195529
Senior Partner,9,500768
Senior Partner,9,503813
Partner,6,150755
Financial Analyst,1,46981
Operations Manager,1,43725
Sales Director,6,147962
Product Manager,10,996362
Junior Consultant,9,499968
Senior Consultant,8,302004
Business Analyst,8,301014
UX/UI Designer,3,63449
C-level,10,996730
Partner,4,76041
CEO,9,497920
C-level,6,146661
CEO,9,501417
Content Strategist,9,503624
Business Analyst,7,204317
Senior Partner,10,997052
Product Manager,3,61675
Content Strategist,7,204513
Content Strategist,1,47971
Senior Partner,6,151903
Country Manager,4,82704
Senior Consultant,2,50780
CEO,10,999517
Product Manager,5,105374
Product Manager,6,147190
C-level,7,197933
Marketing Specialist,3,60553
Junior Consultant,8,297094
HR Manager,6,152827
CEO,8,299483
Software Engineer,6,151074
Data Scientist,2,50505
Product Manager,10,1001618
Senior Consultant,7,204684
Business Analyst,2,47856
Product Manager,10,998956
Data Scientist,8,303577
Operations Manager,5,110076
Product Manager,2,50300
Region Manager,3,60489
Data Scientist,10,996984
Country Manager,3,62854
HR Manager,9,502084
Country Manager,4,77000
UX/UI Designer,5,109162
Data Scientist,4,79686
Data Scientist,10,1003572
CEO,5,107586
Content Strategist,7,195078
Partner,6,145118
UX/UI Designer,6,147772
Marketing Specialist,2,52696
Product Manager,5,113593
Marketing Specialist,9,500651
Partner,4,83372
HR Manager,2,45711
C-level,9,502955
Junior Consultant,2,45465
Financial Analyst,2,53347
Region Manager,3,56947
Product Manager,2,53203
Senior Consultant,6,154988
Senior Consultant,7,198995
Operations Manager,8,304413
HR Manager,2,52919
Business Analyst,4,75989
Country Manager,3,55144
Partner,6,149856
Content Strategist,7,202161
UX/UI Designer,3,63115
C-level,1,44684
Software Engineer,1,41208
Sales Director,1,42597
C-level,2,51844
Business Analyst,10,1003287
Partner,6,152051
Business Analyst,8,298030
HR Manager,8,304326
UX/UI Designer,8,297785
Senior Partner,5,110163
Sales Director,2,52873
Junior Consultant,10,1004428
Content Strategist,7,201841
Product Manager,10,996981
Software Engineer,3,55036
Data Scientist,6,148912
Marketing Specialist,10,999519
Senior Partner,3,64667
Content Strategist,3,61307
Manager,8,302728
Operations Manager,7,195218
Product Manager,5,113524
Manager,5,105957
Junior Consultant,8,295971
Senior Consultant,6,152396
Sales Director,7,204508
CEO,9,496347
Senior Consultant,10,995355
C-level,1,49586
HR Manager,1,41653
Financial Analyst,4,79441
UX/UI Designer,5,106393
Marketing Specialist,6,151554
Partner,3,62899
Financial Analyst,5,108277
Software Engineer,10,998389
Data Scientist,2,46243
UX/UI Designer,5,113261
C-level,9,499634
Senior Consultant,1,45982
Junior Consultant,5,108084
C-level,1,44450
Software Engineer,4,75723
Region Manager,9,504045
UX/UI Designer,1,40419
Marketing Specialist,1,43482
Sales Director,7,200132
Product Manager,10,995946
Senior Partner,6,150908
C-level,8,304143
CEO,1,41712
Business Analyst,2,46430
Manager,3,62903
Partner,9,499704
Product Manager,7,198599
Senior Consultant,9,496732
Financial Analyst,2,54416
Junior Consultant,1,48144
Software Engineer,8,304198
Marketing Specialist,5,110090
UX/UI Designer,5,107654
Country Manager,6,154155
Senior Consultant,7,204628
Region Manager,5,108806
Software Engineer,3,55721
Sales Director,1,41341
Financial Analyst,8,300340
Junior Consultant,5,112477
Senior Partner,6,147622
HR Manager,9,495274
HR Manager,9,503993
Financial Analyst,5,114939
Data Scientist,10,1002300
Senior Partner,9,503407
Country Manager,2,45180
HR Manager,6,146873
Junior Consultant,5,114154
Partner,7,197303
HR Manager,5,110756
Sales Director,7,195068
UX/UI Designer,1,40806
Sales Director,1,46473
Region Manager,4,79568
Senior Partner,8,298492
Financial Analyst,6,150334
Product Manager,3,60115
Operations Manager,7,198122
CEO,9,496623
Business Analyst,1,45499
Software Engineer,10,1003144
Region Manager,4,80319
Product Manager,6,148559
Country Manager,6,146200
C-level,1,44660
Senior Consultant,5,114616
Country Manager,6,154762
Senior Consultant,5,110962
Financial Analyst,2,49636
C-level,2,46914
CEO,8,298808
Software Engineer,7,198402
Manager,7,203256
HR Manager,8,299581
Senior Consultant,8,304879
UX/UI Designer,7,195790
Junior Consultant,10,1003250
CEO,6,149450
C-level,7,204221
Senior Partner,5,114766
Marketing Specialist,6,148946
Manager,3,63516
CEO,4,83780
Junior Consultant,6,151070
Country Manager,5,110510
Content Strategist,1,41812
CEO,8,300222
Data Scientist,2,51034
Country Manager,1,43352
Sales Director,10,1000652
HR Manager,6,149425
Region Manager,10,1001945
Senior Consultant,6,153821
Software Engineer,4,78233
Partner,7,197071
Senior Partner,5,111305
Content Strategist,10,1003790
Data Scientist,9,499656
Country Manager,6,147196
Senior Partner,6,146501
Data Scientist,4,79852
Business Analyst,7,202701
Data Scientist,4,80369
Product Manager,1,46484
Data Scientist,9,502930
Content Strategist,9,495439
Business Analyst,3,63584
Sales Director,8,302300
CEO,8,302883
Financial Analyst,4,82722
Manager,9,503965
C-level,4,80940
UX/UI Designer,5,105920
Marketing Specialist,3,55741
C-level,5,108556
Marketing Specialist,6,152676
Operations Manager,10,999862
Content Strategist,1,40213
CEO,9,502464
Financial Analyst,5,114398
Junior Consultant,8,296830
UX/UI Designer,3,57960
Software Engineer,8,295822
Operations Manager,1,49103
Region Manager,1,40301
Country Manager,8,298119
C-level,9,504722
Senior Partner,5,113505
CEO,2,53411
UX/UI Designer,5,113377
Content Strategist,6,154249
Software Engineer,3,62938
Junior Consultant,9,496642
UX/UI Designer,6,147862
Partner,1,40735
Partner,5,112221
Content Strategist,3,59169
CEO,1,48801
CEO,10,1003657
Senior Consultant,8,299999
Software Engineer,5,110194
Operations Manager,8,297967
Sales Director,9,504610
Partner,7,196252
Product Manager,1,45418
C-level,9,500952
Manager,4,76297
Senior Consultant,3,61807
Partner,5,106769
Senior Consultant,5,105549
Operations Manager,8,295048
UX/UI Designer,4,76406
HR Manager,10,996895
Content Strategist,6,145003
Junior Consultant,8,304207
Business Analyst,3,62655
Manager,8,296066
Business Analyst,8,301679
Software Engineer,8,300433
Operations Manager,1,49011
Region Manager,3,55270
UX/UI Designer,4,75468
Financial Analyst,7,198133
Product Manager,1,43512
Sales Director,8,302238
UX/UI Designer,4,78973
Partner,6,145306
Sales Director,6,153489
Country Manager,10,996942
CEO,4,79841
UX/UI Designer,10,1003870
Software Engineer,4,79380
Junior Consultant,5,111001
Senior Partner,10,1001666
Marketing Specialist,2,47711
Marketing Specialist,9,496610
HR Manager,1,40127
Sales Director,4,77392
UX/UI Designer,5,110301
C-level,9,495538
UX/UI Designer,6,153184
Product Manager,6,152207
Manager,2,46370
Partner,5,111724
Business Analyst,3,62831
UX/UI Designer,7,198991
CEO,8,297080
HR Manager,6,150696
Country Manager,2,51409
Partner,3,63402
Operations Manager,10,995169
HR Manager,10,997545
Data Scientist,8,299931
Data Scientist,10,1002599
Marketing Specialist,4,83976
Senior Partner,6,150538
Region Manager,4,81100
Junior Consultant,8,298548
Data Scientist,9,497400
UX/UI Designer,2,51500
Financial Analyst,8,297253
Region Manager,7,196058
Junior Consultant,3,55337
Software Engineer,1,42797
C-level,1,46769
Content Strategist,7,198238
Product Manager,8,296776
Financial Analyst,1,49228
Partner,7,201724
Manager,2,50588
C-level,9,496518
Senior Consultant,2,49352
Software Engineer,10,1004916
Software Engineer,7,201967
Operations Manager,3,57053
Senior Consultant,1,40271
CEO,3,63858
UX/UI Designer,8,301005
Region Manager,9,498340
Operations Manager,3,64166
Senior Partner,5,106366
Operations Manager,1,47725
Content Strategist,2,45551
Senior Partner,8,298045
Manager,8,302861
Software Engineer,3,62081
Senior Partner,3,58432
Junior Consultant,3,56627
C-level,10,997769
Software Engineer,2,54609
Software Engineer,7,203758
UX/UI Designer,4,83223
Region Manager,6,147300
Data Scientist,6,145874
Senior Consultant,4,78884
Marketing Specialist,7,204597
Partner,3,64009
UX/UI Designer,7,200650
Marketing Specialist,5,106852
Operations Manager,1,49918
Data Scientist,5,106490
Partner,6,149193
Product Manager,6,149837
Data Scientist,4,76903
Financial Analyst,4,83031
Junior Consultant,3,61051
Operations Manager,5,113468
Content Strategist,9,496287
Senior Partner,5,105773
Software Engineer,9,500043
Product Manager,10,1000613
Data Scientist,5,109982
Sales Director,6,145032
HR Manager,8,299436
Data Scientist,5,107346
Product Manager,5,112632
C-level,6,153987
Content Strategist,4,80344
Marketing Specialist,2,51190
Financial Analyst,4,83355
Partner,10,999338
UX/UI Designer,6,146492
Sales Director,5,106745
Junior Consultant,1,44187
UX/UI Designer,1,49740
HR Manager,2,48142
Content Strategist,9,501761
UX/UI Designer,9,501216
CEO,9,500482
Senior Partner,8,296082
Software Engineer,7,203292
Junior Consultant,1,46833
Region Manager,1,41403
Data Scientist,10,1003893
Product Manager,5,108599
UX/UI Designer,7,196936
Region Manager,10,999594
Marketing Specialist,9,502996
Financial Analyst,3,59304
Software Engineer,9,495642
Junior Consultant,3,57570
HR Manager,2,52407
Marketing Specialist,6,154558
Sales Director,1,43241
Sales Director,7,202164
Senior Partner,1,44448
Manager,9,503580
Partner,2,46109
Country Manager,7,199267
HR Manager,9,501297
Financial Analyst,9,495472
Senior Consultant,5,108351
Senior Consultant,6,148724
HR Manager,5,111800
C-level,9,495529
Content Strategist,6,153460
CEO,3,64719
UX/UI Designer,7,198163
Software Engineer,9,498382
Senior Consultant,5,111711
Sales Director,5,107266
Financial Analyst,2,51082
Sales Director,2,45455
Operations Manager,8,300626
Country Manager,7,202062
Software Engineer,3,58171
Software Engineer,2,50604
Operations Manager,4,84551
Country Manager,8,298884
Sales Director,7,198392
HR Manager,5,114885
C-level,6,154191
C-level,9,499753
Partner,6,151756
CEO,6,148361
Product Manager,6,154260
Junior Consultant,8,298253
Sales Director,4,76118
HR Manager,4,83853
Manager,7,200268
Region Manager,3,55143
Data Scientist,4,84966
C-level,8,299537
Manager,7,201442
Manager,5,114759
Junior Consultant,6,152626
UX/UI Designer,2,49895
C-level,10,999872
Sales Director,3,55347
UX/UI Designer,2,46440
Financial Analyst,5,108708
Product Manager,4,83294
C-level,3,57263
Country Manager,5,113035
Country Manager,4,83769
Junior Consultant,10,999742
Partner,2,49267
HR Manager,2,47235
Data Scientist,1,47409
Country Manager,8,296406
Financial Analyst,1,47882
Content Strategist,3,64882
Country Manager,10,1001971
Data Scientist,4,75999
Senior Consultant,10,1002221
Junior Consultant,3,58810
UX/UI Designer,5,110453
C-level,7,195067
Sales Director,8,300912
HR Manager,10,1003473
Senior Partner,2,53213
Senior Partner,3,55360
UX/UI Designer,9,502608
Content Strategist,6,150687
HR Manager,5,113166
Partner,2,46612
Financial Analyst,2,50778
Financial Analyst,4,78641
Senior Partner,6,154492
Product Manager,10,998603
Product Manager,4,76568
Product Manager,5,113476
UX/UI Designer,6,147789
Country Manager,3,57844
Product Manager,2,49259
UX/UI Designer,5,113297
Country Manager,4,76198
Country Manager,6,149628
Product Manager,5,114563
Marketing Specialist,7,199774
Operations Manager,2,49282
HR Manager,8,302543
Software Engineer,10,1002580
Data Scientist,6,154500
Operations Manager,3,59855
Sales Director,7,204129
Manager,7,195165
Manager,1,48938
Junior Consultant,10,1001385
Region Manager,5,105535
Marketing Specialist,8,298832
Marketing Specialist,5,108054
Business Analyst,1,49301
Junior Consultant,2,46870
UX/UI Designer,6,145968
CEO,9,502199
Content Strategist,7,200521
Product Manager,4,81551
Business Analyst,9,504367
Manager,7,200023
Junior Consultant,6,150898
CEO,7,196567
Sales Director,6,154793
Software Engineer,1,44292
Financial Analyst,9,499956
Software Engineer,1,43727
Senior Partner,7,204246
Content Strategist,4,79104
CEO,8,295773
Product Manager,7,197883
Region Manager,4,76952
Senior Consultant,1,48195
C-level,10,1004189
Financial Analyst,3,64911
HR Manager,7,201432
Partner,9,501856
Financial Analyst,10,1002104
C-level,5,111055
Data Scientist,6,151499
Content Strategist,10,996684
Content Strategist,7,196765
Business Analyst,6,152556
Junior Consultant,7,204908
Senior Partner,7,199944
Business Analyst,5,106461
HR Manager,2,48603
CEO,4,76900
Product Manager,4,80431
Country Manager,9,502915
Region Manager,10,996613
Financial Analyst,2,45311
Junior Consultant,3,55235
Region Manager,10,999029
UX/UI Designer,1,49924
UX/UI Designer,3,63648
Sales Director,5,105861
Operations Manager,1,42258
Marketing Specialist,4,76547
Software Engineer,5,112510
HR Manager,3,64944
Marketing Specialist,2,48235
Content Strategist,5,106457
Partner,8,301984
HR Manager,8,303693
Sales Director,6,151259
Software Engineer,8,298267
Partner,9,500254
Marketing Specialist,7,195646
Country Manager,8,303341
Senior Consultant,10,995054
HR Manager,4,80623
Partner,4,78076
Content Strategist,9,495808
Sales Director,10,1002914
CEO,8,298940
Marketing Specialist,10,997061
Region Manager,3,59257
Operations Manager,8,304098
C-level,6,152819
Country Manager,6,148907
CEO,5,109415
Senior Partner,8,303936
Junior Consultant,5,106278
Partner,9,502937
UX/UI Designer,7,201438
Software Engineer,6,147705
C-level,4,83638
Manager,10,1002773
CEO,1,43820
Senior Partner,2,46120
Senior Consultant,8,297806
Content Strategist,1,46481
Product Manager,8,301395
Data Scientist,2,46019
Region Manager,1,47451
Data Scientist,4,75732
C-level,3,64155
Business Analyst,2,50909
Data Scientist,3,63753
Marketing Specialist,8,300428
Country Manager,3,61441
UX/UI Designer,9,504159
Operations Manager,1,43469
Manager,1,42298
Business Analyst,5,113499
Operations Manager,7,195496
Senior Partner,5,109071
Operations Manager,7,199142
Business Analyst,2,51373
UX/UI Designer,7,196118
Senior Consultant,2,50591
Data Scientist,8,299163
Region Manager,3,61053
Partner,8,298716
CEO,4,77651
Content Strategist,3,61333
Product Manager,6,153901
CEO,1,47454
Country Manager,6,147844
Region Manager,5,106910
C-level,2,52632
Senior Consultant,4,79508
Software Engineer,8,295153
Business Analyst,1,46543
Sales Director,5,108989
Senior Partner,10,998392
HR Manager,1,49241
Senior Consultant,10,995005
Junior Consultant,3,63440
Manager,4,75554
Junior Consultant,7,195045
Content Strategist,3,59623
Data Scientist,3,58236
Senior Partner,4,77178
Senior Partner,6,151501
Sales Director,1,41822
Senior Consultant,3,58808
Data Scientist,4,78860
UX/UI Designer,10,1003623
Senior Consultant,5,107092
Sales Director,8,295505
C-level,6,152065
Software Engineer,1,44023
Sales Director,10,998040
